trade_num,entry_date,entry_price,exit_date,exit_price,profit_pct,portfolio_value
1,2021-07-27,39406.94140625,2021-12-09,47672.12109375,20.973918280775607,12097.391828077562
2,2022-03-30,47062.6640625,2022-04-12,40127.18359375,-14.736693314980142,10314.636295262302
3,2023-01-16,21169.6328125,2023-06-15,25576.39453125,20.816429636644177,12461.775301941341
4,2023-06-19,26851.029296875,2023-08-20,26189.583984375,-2.463389038784375,12154.79329511538
5,2023-10-18,28328.341796875,2024-07-01,62851.98046875,121.86960648605074,26967.792053065372
6,2024-07-22,67585.25,2024-08-05,53991.45703125,-20.113549877746994,21543.61174754498
7,2024-09-26,65181.01953125,2025-02-28,84373.0078125,29.44413637477503,27886.94217054418
8,2025-04-27,93754.84375,2025-10-21,108476.890625,15.702705360223055,32265.946533560524
9,2026-05-02,78657.25,2026-05-30,73754.8359375,-6.232628349579981,30254.930002649515
